"4HM68","4PP02","R","20010401","F"
"4HM68","4QR39","R","20010401","F"
"4HM87","5H4","O","20020401","F"
"4HN27","5KW","O","20020401","F"
"4HN73","5FX","O","20010401","F"
"4HP11","5GM","O","20010401","F"
"4HQ02","4ET71","R","20010401","F"
"4HQ16","5CR","R","20010401","F"
"4HQ44","5KJ","O","20020401","F"
"4HQ82","5ED","O","20010401","F"
"4HR94","5D2","O","20010401","F"
"4HV14","5FL","O","20010401","X"
"4HV31","5A5","O","20010401","X"
"4HV86","4QR39","R","20010401","F"
"4HV86","4PP02","R","20010401","F"
"4HW08","5DW","O","20010401","F"
"4HX36","4RJ84","R","20010401","F"
"4HX55","5E7","O","20010401","F"
"4HX71","5H4","O","20020401","F"
"4HY32","5ER","O","20010401","F"
"4JC46","5K5","O","20020401","X"
"4JC79","5LX","O","20020401","F"
"4JE76","5KQ","O","20020401","F"
"4JF37","5LE","O","20020401","X"
"4JG87","5FM","O","20010401","F"
"4JM04","5KH","O","20020401","F"
"4JM73","5MC","O","20020401","F"
"4JN43","5M1","O","20020401","X"
"4JP22","5L2","O","20020401","F"
"4JP38","5G5","O","20020401","F"
"4JQ63","5JQ","O","20020401","F"
"4JQ95","5EQ","O","20010401","F"
"4JR87","5HQ","O","20020401","X"
"4JW97","5L9","O","20020401","F"
"4JX21","5J7","O","20020401","F"
"4JX77","4LF60","R","20000401","F"
"4JX77","4LH19","R","20000401","F"
"4JX77","4ND41","R","20000401","F"
"4JY10","5GA","O","20010401","F"
"4JY13","5D5","O","20010401","F"
"4KC44","5DD","O","20010401","F"
"4KF02","5KC","O","20020401","F"
"4KG21","5H1","O","20020401","X"
"4KG23","4KG23","O","20000401","F"
"4KG23","5AE","R","20010401","F"
"4KG23","5AE","O","20000401","F"
"4KG77","5E7","O","20010401","F"
"4KH16","4DY93","R","20010401","F"
"4KH38","4EK66","R","20010401","F"
"4KH53","5MN","O","20020401","F"
"4KH89","4KH89","O","20000401","F"
"4KH89","5AK","R","20010401","F"
"4KH89","5AK","O","20000401","F"
"4KJ05","5DC","O","20010401","F"
"4KK12","4KK12","O","20000401","F"
"4KK12","5AF","R","20010401","F"
"4KK12","5AF","O","20000401","F"
"4KK55","5F7","O","20010401","X"
"4KK88","4KK88","O","20001001","F"
"4KK88","5AY","R","20010401","F"
"4KK88","5AY","O","20001001","F"
"4KM10","4ET71","R","20010401","F"
"4KM84","5H3","O","20020401","F"
"4KN90","5J5","O","20020401","X"
"4KP05","5GG","O","20010401","F"
"4KP68","5A7","O","20010401","X"
"4KQ14","5JC","O","20020401","F"
"4KQ91","5KE","O","20020401","F"
"4KQ92","4DN88","R","20001001","F"
